epoch,loss,loss/data,loss/ic,loss/res,loss/smma,lr,step
155,0.0010189837776124477,0.0005501112318597734,3.766368899960071e-05,0.0004312085220590234,0.009804139845073223,,7175
,,,,,,0.0005,7176
156,0.0011823194799944758,0.0005499190301634371,0.00016102335939649493,0.00047137727960944176,0.009631703607738018,,7221
,,,,,,0.0005,7222
157,0.0016503352671861649,0.0006484893383458257,0.00014803707017563283,0.0008538089459761977,0.009472076781094074,,7267
,,,,,,0.0005,7268
158,0.0011961727868765593,0.00046548506361432374,9.84014623099938e-05,0.0006322864210233092,0.009306558407843113,,7313
,,,,,,0.0005,7314
159,0.0023142618592828512,0.0006456673145294189,0.00048452132614329457,0.0011840732768177986,0.009166712872684002,,7359
,,,,,,0.0005,7360
160,0.0009850115748122334,0.0005348445847630501,0.00017673455295152962,0.00027343223337084055,0.009003078565001488,,7405
,,,,,,0.0005,7406
161,0.0011520300759002566,0.0004922870430164039,0.00024261808721348643,0.0004171245382167399,0.008846057578921318,,7451
,,,,,,0.0005,7452
162,0.001097260508686304,0.0005399485235102475,2.940935519291088e-05,0.0005279029719531536,0.008691081777215004,,7497
,,,,,,0.0005,7498
163,0.0009560118778608739,0.00039329889114014804,0.000125612408737652,0.00043710050522349775,0.008536379784345627,,7543
,,,,,,0.0005,7544
164,0.0018128472147509456,0.0004948814166709781,3.793506039073691e-05,0.0012800305848941207,0.008401909843087196,,7589
,,,,,,0.0005,7590
165,0.0015475207474082708,0.0003906396741513163,7.251732768054353e-06,0.0011496293591335416,0.008264821954071522,,7635
,,,,,,0.0005,7636
166,0.0012351860059425235,0.00044090618030168116,0.00010195478535024449,0.0006923250039108098,0.008124228566884995,,7681
,,,,,,0.0005,7682
167,0.0011776949977502227,0.00037509400863200426,7.165801071096212e-05,0.0007309428765438497,0.00798529852181673,,7727
,,,,,,0.0005,7728
168,0.0016531867440789938,0.0005457014194689691,5.8237719713361e-06,0.0011016614735126495,0.007858656346797943,,7773
,,,,,,0.0005,7774
169,0.0015556232538074255,0.000497562054079026,5.31068917553057e-06,0.0010527505073696375,0.007732595317065716,,7819
,,,,,,0.0005,7820
170,0.0017712726257741451,0.0005211656098254025,6.780919648008421e-06,0.001243325648829341,0.007613368798047304,,7865
,,,,,,0.0005,7866
171,0.0012664448004215956,0.0004920767969451845,0.000219079724047333,0.0005552881048060954,0.007486430462449789,,7911
,,,,,,0.0005,7912
172,0.0006632173899561167,0.0003947351942770183,6.704666884616017e-05,0.00020143557048868388,0.0073499660938978195,,7957
,,,,,,0.0005,7958
173,0.0012731176102533937,0.0004370233800727874,2.1168290913919918e-05,0.0008149258210323751,0.007228429429233074,,8003
,,,,,,0.0005,8004
174,0.0012451718794181943,0.0004608990275301039,6.4553296397207305e-06,0.000777817505877465,0.007108764257282019,,8049
,,,,,,0.0005,8050
175,0.001371886464767158,0.0005114163504913449,0.00011805711983470246,0.000742412987165153,0.006994026713073254,,8095
,,,,,,0.0005,8096
176,0.001646482851356268,0.0003745100402738899,0.00023455028713215142,0.0010374225676059723,0.006887075491249561,,8141
,,,,,,0.0005,8142
177,0.0023723808117210865,0.00042611316894181073,0.0007279725978150964,0.0012182951904833317,0.0067967819049954414,,8187
,,,,,,0.0005,8188
178,0.0021898981649428606,0.0003813538351096213,0.0011961490381509066,0.0006123949424363673,0.006704644300043583,,8233
,,,,,,0.0005,8234
179,0.0011420982191339135,0.0005663972697220743,6.61191443214193e-05,0.0005095817614346743,0.006593393161892891,,8279
,,,,,,0.0005,8280
180,0.0013414568966254592,0.0005417391657829285,0.00012482854072004557,0.0006748891901224852,0.0064883544109761715,,8325
,,,,,,0.0005,8326
181,0.0007445508381351829,0.00041959219379350543,3.470478986855596e-05,0.0002902537817135453,0.006373478565365076,,8371
,,,,,,0.0005,8372
182,0.0014907174045220017,0.0005174821708351374,6.197401671670377e-05,0.0009112606639973819,0.006275823339819908,,8417
,,,,,,0.0005,8418
183,0.0012489022919908166,0.0004555399646051228,0.00012182897626189515,0.0006715335184708238,0.006175284739583731,,8463
,,,,,,0.0005,8464
184,0.0011226206552237272,0.0004417091840878129,0.00013189886522013694,0.0005490126786753535,0.006074231583625078,,8509
,,,,,,0.0005,8510
185,0.001326833968050778,0.00035597532405517995,0.0002841571404132992,0.0006867012125439942,0.0059792837128043175,,8555
,,,,,,0.0005,8556
186,0.0011514187790453434,0.00041772660915739834,0.0003338817914482206,0.000399810349335894,0.005882726050913334,,8601
,,,,,,0.0005,8602
187,0.0010984953260049224,0.000342261279001832,0.00020304182544350624,0.000553192337974906,0.005787041503936052,,8647
,,,,,,0.0005,8648
188,0.0013465393567457795,0.0003890901571139693,0.00019644979329314083,0.0007609992171637714,0.005698231514543295,,8693
,,,,,,0.0005,8694
189,0.0013934723101556301,0.00040006035123951733,0.00012082009197911248,0.0008725914522074163,0.005612136330455542,,8739
,,,,,,0.0005,8740
190,0.0007681848364882171,0.0003852136433124542,6.621082138735801e-05,0.00031676021171733737,0.005515257362276316,,8785
,,,,,,0.0005,8786
191,0.0006500935996882617,0.00034671975299715996,7.32006665202789e-05,0.0002301731292391196,0.005417954176664352,,8831
,,,,,,0.0005,8832
192,0.0006972872070036829,0.00031168904388323426,1.4779708180867601e-05,0.00037081833579577506,0.005323540885001421,,8877
,,,,,,0.0005,8878
193,0.0010601961985230446,0.00036745803663507104,3.205841039743973e-06,0.0006895323749631643,0.005238273646682501,,8923
,,,,,,0.0005,8924
194,0.0006789054023101926,0.0003128050302620977,3.159828338539228e-05,0.00033450211049057543,0.005147086456418037,,8969
,,,,,,0.0005,8970
195,0.001327353180386126,0.000423724006395787,3.832537004200276e-06,0.0008997966651804745,0.005070691928267479,,9015
,,,,,,0.0005,9016
196,0.0009023374877870083,0.00028590220608748496,1.0710791684687138e-06,0.000615364289842546,0.004987324588000774,,9061
,,,,,,0.0005,9062
197,0.0009737185901030898,0.0003233469615224749,7.807594556652475e-06,0.0006425639148801565,0.004907052498310804,,9107
,,,,,,0.0005,9108
198,0.0013650731416419148,0.00023251974198501557,1.9634755517472513e-05,0.0011129186023026705,0.00483621284365654,,9153
,,,,,,0.0005,9154
199,0.0009795408695936203,0.000352220144122839,6.667988054687157e-05,0.0005606408230960369,0.004759079776704311,,9199
,,,,,,0.0005,9200
200,0.0008118077530525625,0.00024396496883127838,0.00013034301809966564,0.00043749960605055094,0.004680134356021881,,9245
,,,,,,0.0005,9246
201,0.0013291558716446161,0.0005473231431096792,0.0002450764295645058,0.0005367564153857529,0.004613114520907402,,9291
,,,,,,0.0005,9292
202,0.0012315138010308146,0.0002061270351987332,4.566589632304385e-05,0.0009797208476811647,0.004545482341200113,,9337
,,,,,,0.0005,9338
203,0.0013981146039441228,0.0007427186355926096,3.487158755888231e-05,0.0006205244571901858,0.004482535179704428,,9383
,,,,,,0.0005,9384
