epoch,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
65,0.008820317685604095,0.007543508429080248,0.007543508429080248,5.777957630925812e-05,1.914685981319053e-06,5.586489351117052e-05,0.0012190312845632434,9.994611218644422e-07,1.1190852092113346e-05,0.016484500840306282,,0.26739805936813354,3035
,,,,,,,,,,,0.0005,,3036
66,0.00859692320227623,0.008247863501310349,0.008247863501310349,6.0943842981942e-05,1.4791232842981117e-06,5.946474993834272e-05,0.0002881154650822282,9.540293604004546e-07,1.927125367728877e-06,0.016326747834682465,,0.25762274861335754,3081
,,,,,,,,,,,0.0005,,3082
67,0.00819886103272438,0.007892417721450329,0.007892417721450329,2.195108436353621e-06,1.4176795275488985e-06,7.77429136178398e-07,0.0003042494354303926,9.996656444855034e-07,2.042828327830648e-06,0.01616419106721878,,0.2549976408481598,3127
,,,,,,,,,,,0.0005,,3128
68,0.0081959692761302,0.007930485531687737,0.007930485531687737,1.5611096841894323e-06,1.434978344150295e-06,1.2613109845460713e-07,0.0002639196754898876,9.440910275770875e-07,1.6951063344095019e-06,0.01600482687354088,,0.25499290227890015,3173
,,,,,,,,,,,0.0005,,3174
69,0.007993035949766636,0.007793371565639973,0.007793371565639973,1.6972905996226473e-06,1.5147606973187067e-06,1.825298028279576e-07,0.0001979703811230138,7.581140835100086e-07,1.2215897413625498e-06,0.015844590961933136,,0.25564005970954895,3219
,,,,,,,,,,,0.0005,,3220
70,0.007764115463942289,0.0075632426887750626,0.0075632426887750626,1.8626965356816072e-06,1.5929163055261597e-06,2.697801448903192e-07,0.00019901110499631613,7.155895218602382e-07,1.274521196137357e-06,0.01568298041820526,,0.2575221061706543,3265
,,,,,,,,,,,0.0005,,3266
71,0.007634620647877455,0.007445559371262789,0.007445559371262789,1.9645015072455863e-06,1.734294528432656e-06,2.3020695039122074e-07,0.00018709702999331057,7.929785965643532e-07,1.077991782949539e-06,0.01552201434969902,,0.2585598826408386,3311
,,,,,,,,,,,0.0005,,3312
72,0.0074989586137235165,0.007284230552613735,0.007284230552613735,2.034296358033316e-06,1.7670398619884509e-06,2.6725697921392566e-07,0.0002126918698195368,9.498878625890939e-07,1.1770309811254265e-06,0.015361553058028221,,0.26021623611450195,3357
,,,,,,,,,,,0.0005,,3358
73,0.007448816671967506,0.007241118233650923,0.007241118233650923,2.0457705431908835e-06,1.784061964826833e-06,2.6170854994234105e-07,0.00020565034355968237,9.75757529886323e-07,1.080745846593345e-06,0.015203298069536686,,0.2622546851634979,3403
,,,,,,,,,,,0.0005,,3404
74,0.007436349056661129,0.007221907842904329,0.007221907842904329,2.166776994272368e-06,1.8767005940389936e-06,2.9007620128140843e-07,0.0002122737787431106,9.836770686888485e-07,1.1390606005079462e-06,0.015047959052026272,,0.2645839750766754,3449
,,,,,,,,,,,0.0005,,3450
75,0.0074104806408286095,0.007205594796687365,0.007205594796687365,2.011915512412088e-06,1.8142410453947377e-06,1.9767428227623896e-07,0.0002028731832979247,9.945156307367142e-07,1.034216097650642e-06,0.014895209111273289,,0.26631221175193787,3495
,,,,,,,,,,,0.0005,,3496
76,0.007353275083005428,0.0071482411585748196,0.0071482411585748196,2.223792762379162e-06,1.9523495211615227e-06,2.714435254347336e-07,0.00020281058095861226,9.551292805554112e-07,1.0729764881034498e-06,0.014744371175765991,,0.268233984708786,3541
,,,,,,,,,,,0.0005,,3542
77,0.0073873503133654594,0.007198129780590534,0.007198129780590534,2.1416785784822423e-06,1.8929385987576097e-06,2.4873966708582884e-07,0.0001870803680503741,8.535762958672422e-07,1.0172277598030632e-06,0.014597230590879917,,0.26968690752983093,3587
,,,,,,,,,,,0.0005,,3588
78,0.007309333886951208,0.007138152606785297,0.007138152606785297,2.333616748728673e-06,2.0702514120785054e-06,2.633654219152959e-07,0.00016884740034583956,7.560012704743713e-07,9.324728580395458e-07,0.014451472088694572,,0.2709861695766449,3633
,,,,,,,,,,,0.0005,,3634
79,0.007226994726806879,0.007062370423227549,0.007062370423227549,2.3862278339947807e-06,2.0520963062153896e-06,3.3413192568332306e-07,0.00016223573766183108,7.184187325037783e-07,9.039389397003106e-07,0.014306982979178429,,0.2720036506652832,3679
,,,,,,,,,,,0.0005,,3680
80,0.007238912396132946,0.007059741765260696,0.007059741765260696,2.6485627131478395e-06,2.330105417058803e-06,3.184570971370704e-07,0.000176522575202398,6.396971912181471e-07,1.1255284562139423e-06,0.014165621250867844,,0.2729984521865845,3725
,,,,,,,,,,,0.0005,,3726
81,0.007363919634371996,0.0071581220254302025,0.0071581220254302025,2.0424797639861936e-06,1.8855489543057047e-06,1.5693068178279646e-07,0.0002037568046944216,8.467161478620255e-07,1.190852003674081e-06,0.014029587619006634,,0.2721727788448334,3771
,,,,,,,,,,,0.0005,,3772
82,0.007395676337182522,0.007183115463703871,0.007183115463703871,2.9362538498389767e-06,2.2503556920128176e-06,6.858984420432535e-07,0.00020962394773960114,5.057846692579915e-07,1.5904546444289736e-06,0.013896909542381763,,0.2732403576374054,3817
,,,,,,,,,,,0.0005,,3818
