epoch,internal/smma_improvement,loss,loss/data,loss/data/I,loss/ic,loss/ic/I0,loss/ic/S0,loss/res,loss/res/I,loss/res/S,loss/smma,lr,params/beta,step
80,,0.007431323174387217,0.00724792992696166,0.00724792992696166,7.805519999237731e-06,7.059254130581394e-06,7.46266380247107e-07,0.0001755904231686145,7.072187031553767e-07,1.0486855899216607e-06,0.03129609301686287,,0.2624777555465698,3725
,,,,,,,,,,,,0.0005,,3726
81,,0.007319013122469187,0.0071151601150631905,0.0071151601150631905,8.49006846692646e-06,7.5077709880133625e-06,9.822980473472853e-07,0.0001953617320396006,5.733071475333418e-07,1.380309981868777e-06,0.03081655129790306,,0.26653313636779785,3771
,,,,,,,,,,,,0.0005,,3772
82,,0.007353304885327816,0.007125643081963062,0.007125643081963062,8.026199793675914e-06,7.321822522499133e-06,7.043769301162683e-07,0.00021963700419291854,5.497270763044071e-07,1.646643227104505e-06,0.03034728765487671,,0.2680007517337799,3817
,,,,,,,,,,,,0.0005,,3818
83,,0.007457347586750984,0.007335977163165808,0.007335977163165808,7.570620709884679e-06,5.578756372415228e-06,1.991864792216802e-06,0.00011380096839275211,3.147254687974055e-07,8.232844379563176e-07,0.029889488592743874,,0.2665359079837799,3863
,,,,,,,,,,,,0.0005,,3864
84,,0.007377655245363712,0.007193108554929495,0.007193108554929495,5.870595487067476e-06,5.274466275295708e-06,5.961296665191185e-07,0.00017867650603875518,6.778292345188675e-07,1.1089357485616347e-06,0.029439251869916916,,0.2662011682987213,3909
,,,,,,,,,,,,0.0005,,3910
85,,0.007371789775788784,0.007169663906097412,0.007169663906097412,7.691728569625411e-06,6.104256044636713e-06,1.5874718428676715e-06,0.00019443115161266178,4.59331886304426e-07,1.4849796343696653e-06,0.02899790182709694,,0.26978129148483276,3955
,,,,,,,,,,,,0.0005,,3956
86,,0.00710930023342371,0.00693390192463994,0.00693390192463994,7.264000032591866e-06,5.8261821322957985e-06,1.4378172181750415e-06,0.00016813474940136075,4.420545280936494e-07,1.2392930557325599e-06,0.028560129925608635,,0.2692930996417999,4001
,,,,,,,,,,,,0.0005,,4002
87,,0.007331252098083496,0.007182419765740633,0.007182419765740633,5.3329754337028135e-06,4.618047114490764e-06,7.149281486817927e-07,0.0001434977602912113,3.768088276956405e-07,1.058168891177047e-06,0.028135553002357483,,0.2674667537212372,4047
,,,,,,,,,,,,0.0005,,4048
88,,0.007776128593832254,0.007617289666086435,0.007617289666086435,5.622902335744584e-06,4.692543370765634e-06,9.303583397013426e-07,0.00015321427781600505,5.340824600352789e-07,9.980602726500365e-07,0.027728363871574402,,0.2659364640712738,4093
,,,,,,,,,,,,0.0005,,4094
89,,0.007210519164800644,0.007027226500213146,0.007027226500213146,1.1300039659545291e-05,5.8141904446529225e-06,5.48584966963972e-06,0.00017199308786075562,5.957642201792623e-07,1.1241663742111996e-06,0.02731800638139248,,0.2707100510597229,4139
,,,,,,,,,,,,0.0005,,4140
90,,0.0065582371316850185,0.006350523792207241,0.006350523792207241,1.201573195430683e-05,5.999367658660049e-06,6.016364295646781e-06,0.00019569756113924086,6.539551691275847e-07,1.3030203263042495e-06,0.026902811601758003,,0.27101749181747437,4185
,,,,,,,,,,,,0.0005,,4186
91,,0.006687948480248451,0.006463933270424604,0.006463933270424604,5.884164693270577e-06,4.750034804601455e-06,1.134130343416473e-06,0.00021813107014168054,6.166033585941477e-07,1.5647074178559706e-06,0.026498515158891678,,0.2722022533416748,4231
,,,,,,,,,,,,0.0005,,4232
92,,0.006583102513104677,0.006370931398123503,0.006370931398123503,5.8042892305820715e-06,4.192524102109019e-06,1.6117649010993773e-06,0.00020636773842852563,6.114132702350616e-07,1.4522644278258667e-06,0.02610020712018013,,0.27077367901802063,4277
,,,,,,,,,,,,0.0005,,4278
93,,0.0064938124269247055,0.006284305360168219,0.006284305360168219,6.195507012307644e-06,3.750820269488031e-06,2.4446869701932883e-06,0.00020331196719780564,6.170460551402357e-07,1.416073587279243e-06,0.02570807933807373,,0.27049967646598816,4323
,,,,,,,,,,,,0.0005,,4324
94,,0.0061533753760159016,0.0059249261394143105,0.0059249261394143105,7.01512999512488e-06,3.7529130167968106e-06,3.2622178878227714e-06,0.00022143434034660459,8.342001933669962e-07,1.380142975904164e-06,0.025316985324025154,,0.2707931697368622,4369
,,,,,,,,,,,,0.0005,,4370
